Aroldis Chapman,28,TOT,MLB,30,0,0,0,0,0,0,0,0,0
Aroldis Chapman,28,NYY,AL,4,0,0,0,0,0,0,0,0,0
Aroldis Chapman,28,CHC,NL,26,0,0,0,0,0,0,0,0,0
JT Chargois,25,MIN,AL,1,0,0,0,0,0,0,0,0,0
Tyler Chatwoo,26,COL,NL,27,58,53,3,10,0,1,0,4,0
Jesse Chave,32,TOT,MLB,27,0,0,0,0,0,0,0,0,0
Jesse Chave,32,TOR,AL,5,0,0,0,0,0,0,0,0,0
Jesse Chave,32,LAD,NL,22,0,0,0,0,0,0,0,0,0
Wei-Yin Che,30,MIA,NL,21,49,44,0,0,0,0,0,0,0
Robinson Chirino,32,TEX,AL,57,170,147,21,33,11,0,9,20,0
Lonnie Chisenhall,27,CLE,AL,126,418,385,43,110,25,5,8,57,6
Ji-Man Choi,25,LAA,AL,54,129,112,9,19,4,0,5,12,2
Shin-Soo Choo,33,TEX,AL,48,210,178,27,43,7,0,7,17,6
Tony Cingrani,26,CIN,NL,62,1,0,1,0,0,0,0,0,0
Steve Cishe,30,SEA,AL,6,0,0,0,0,0,0,0,0,0
Alex Claudio,24,TEX,AL,3,0,0,0,0,0,0,0,0,0
Paul Clemen,28,TOT,NL,17,23,21,1,0,0,0,0,0,0
Paul Clemen,28,MIA,NL,2,2,2,0,0,0,0,0,0,0
Paul Clemen,28,SDP,NL,15,21,19,1,0,0,0,0,0,0
Steve Clevenger,30,SEA,AL,22,76,68,7,15,3,0,1,7,0
Mike Clevinge,25,CLE,AL,1,2,2,0,0,0,0,0,0,0
Tyler Clippar,31,TOT,MLB,39,0,0,0,0,0,0,0,0,0
Tyler Clippar,31,ARI,NL,38,0,0,0,0,0,0,0,0,0
Tyler Clippar,31,NYY,AL,1,0,0,0,0,0,0,0,0,0
Jason Coat,26,CHW,AL,28,58,50,8,10,4,0,1,4,1
Chris Coghlan,31,TOT,MLB,99,300,261,35,49,12,2,6,30,2
Chris Coghlan,31,OAK,AL,51,172,158,14,23,5,0,5,14,1
Chris Coghlan,31,CHC,NL,48,128,103,21,26,7,2,1,16,1
Phil Coke,33,TOT,MLB,4,0,0,0,0,0,0,0,0,0
Phil Coke,33,NYY,AL,1,0,0,0,0,0,0,0,0,0
Phil Coke,33,PIT,NL,3,0,0,0,0,0,0,0,0,0
Chris Colabell,32,TOR,AL,10,32,29,0,2,0,0,0,1,0
A.J. Col,24,WSN,NL,7,8,7,0,0,0,0,0,0,0
Gerrit Col,25,PIT,NL,21,43,40,3,8,1,0,1,3,0
Louis Colema,30,LAD,NL,57,0,0,0,0,0,0,0,0,0
Tyler Collins,26,DET,AL,56,151,136,14,32,2,3,4,15,1
Josh Collmente,30,TOT,NL,18,7,6,0,0,0,0,0,0,0
Josh Collmente,30,ARI,NL,15,0,0,0,0,0,0,0,0,0
Josh Collmente,30,ATL,NL,3,7,6,0,0,0,0,0,0,0
Alex Colom,27,TBR,AL,5,0,0,0,0,0,0,0,0,0
Bartolo Colo,43,NYM,NL,31,65,60,4,5,2,0,1,2,0
Christian Colo,27,KCR,AL,54,161,147,13,34,6,0,1,13,0
Joe Colo,26,CLE,AL,1,0,0,0,0,0,0,0,0,0
Gerardo Concepcion,24,CHC,NL,3,0,0,0,0,0,0,0,0,0
Michael Conforto,23,NYM,NL,109,348,304,38,67,21,1,12,42,2
Hank Conger,28,TBR,AL,49,137,124,6,24,5,0,3,10,0
Adam Conley,26,MIA,NL,23,47,41,4,5,0,0,0,3,0
Willson Contrera,24,CHC,NL,76,283,252,33,71,14,1,12,35,2
Patrick Corbin,26,ARI,NL,35,53,49,7,15,3,1,0,4,0
Carlos Corre,21,HOU,AL,153,660,577,76,158,36,3,20,96,13
Jarred Cosar,26,TOT,NL,13,18,16,1,2,0,0,0,0,0
Jarred Cosar,26,MIA,NL,4,7,6,0,1,0,0,0,0,0
Jarred Cosar,26,SDP,NL,9,11,10,1,1,0,0,0,0,0
Caleb Cotha,28,CIN,NL,22,0,0,0,0,0,0,0,0,0
Danny Coulombe,26,OAK,AL,2,0,0,0,0,0,0,0,0,0
Kaleb Cowart,24,LAA,AL,31,87,85,8,15,4,0,1,8,0
Collin Cowgil,30,CLE,AL,9,14,12,0,1,0,0,0,0,0
Zack Cozar,30,CIN,NL,121,508,464,67,117,28,2,16,50,4
Tyler Crav,26,MIL,NL,17,5,4,1,1,0,0,1,1,0
Brandon Crawford,29,SFG,NL,155,623,553,67,152,28,11,12,84,7
Carl Crawford,34,LAD,NL,30,87,81,8,15,2,1,0,6,0
Coco Crisp,36,TOT,AL,122,498,446,54,103,27,4,13,55,10
Coco Crisp,36,OAK,AL,102,434,393,45,92,24,4,11,47,7
Coco Crisp,36,CLE,AL,20,64,53,9,11,3,0,2,8,3
Kyle Crockett,24,CLE,AL,3,0,0,0,0,0,0,0,0,0
C.J. Cro,26,LAA,AL,116,445,407,51,113,25,2,16,69,2
Nelson Cru,35,SEA,AL,155,667,589,96,169,27,1,43,105,2
Tony Cru,29,KCR,AL,4,5,4,0,0,0,0,0,1,0
Johnny Cuet,30,SFG,NL,31,84,70,1,8,0,0,0,5,0
Charlie Culberso,27,LAD,NL,34,68,67,6,20,3,0,1,7,1
Brandon Cunnif,27,ATL,NL,15,0,0,0,0,0,0,0,0,0
Todd Cunningham,27,LAA,AL,20,29,27,5,4,3,0,0,1,0
